,bldg_Building_gml_id,damage_value_building,damage_value_contents,damage_value_total
232,bldg_5304c1e3-03e0-4370-ae34-4088bdaebb03,0.0,0.0,0.0
233,bldg_356fe335-4316-484e-aa83-6a7883769297,0.0,0.0,0.0
234,bldg_5f400462-9fee-4e06-8590-62654410987a,0.0,0.0,0.0
235,bldg_c8b90756-fa25-4d3a-9076-021743d92483,0.0,0.0,0.0
236,bldg_ab4a2b3b-a6fb-4951-8b90-c9de367e720e,0.0,0.0,0.0
237,bldg_cec2eb45-7ae7-485a-a9a8-7c55ab493ff8,0.0,0.0,0.0
238,bldg_1c3f5bc5-5a87-42fd-a7fa-1b48ef95b8df,0.0,0.0,0.0
239,bldg_5b5e57be-a580-4904-94ec-bcff07ad3cab,0.0,0.0,0.0
240,bldg_3809f40a-72ff-4016-b364-1726362bed1c,0.0,0.0,0.0
241,bldg_95971ca7-66b8-468d-a5df-34db5076e5f7,0.0,0.0,0.0
242,bldg_06b18f6c-c934-44b3-bb58-e3a6ce85a387,0.0,0.0,0.0
243,bldg_d9005bf1-72f9-42c2-a6d5-b01258477718,0.0,0.0,0.0
244,bldg_0c133b78-2fbc-43ca-ba5e-c19c97502d81,0.0,0.0,0.0
245,bldg_8b58132f-099e-480d-8292-7d917d0cf54c,0.0,0.0,0.0
246,bldg_16fd7949-ba76-48e0-8cf5-c0881ed7f3f5,0.0,0.0,0.0
247,bldg_1861ba50-8fa1-4d95-a536-d37aa0d7ba1e,0.0,0.0,0.0
248,bldg_25b848eb-1f69-492f-9ea7-27547dcece3f,0.0,0.0,0.0
249,bldg_7af65e31-8c7d-4321-9f6c-2f56bc425bd1,0.0,0.0,0.0
250,bldg_582c5690-fe1c-4e13-9abd-0adb8cac6a70,0.0,0.0,0.0
251,bldg_b50e4ee5-5079-470d-8a9f-68161f13344e,0.0,0.0,0.0
252,bldg_229adbc3-48da-4fb5-9b50-9a5e27ca08c0,0.0,0.0,0.0
253,bldg_669186e5-2d6f-4cc1-aa03-66ec0be1b7d3,0.0,0.0,0.0
254,bldg_5f085442-3940-472e-aebf-07b4c3b13193,0.0,0.0,0.0
255,bldg_1ef1d829-7f88-4661-9fbe-9ba4c344cb1c,0.0,0.0,0.0
256,bldg_2d8a64a8-21c8-4423-b67d-432334eade1c,0.0,0.0,0.0
257,bldg_5cc6f67d-92d6-4fe6-b7ad-9ddb6767f24f,0.0,0.0,0.0
258,bldg_e5d245eb-8384-4697-bb89-f47280ba3e45,0.0,0.0,0.0
259,bldg_db872894-8543-4ca9-b376-5fe7e4ee6473,0.0,0.0,0.0
